Total # of Data,Pt,Au,Ru,Rh,Ir,Cu,Pd,IWI,WI,CI,SI,SGP,CP,HDP,UGC,SCT,FSP,ME,DP,Calc T (oC),Calc T. (hr),Al2O3,MgO,CeO2,TiO2,ZEO,MnO,Y2O3,ZrO2,HAP,ACC,Tb4O7,HfO2,La2O3,Co3O4,ThO2,SiO2,Fe2O3,Sm2O3,Gd2O3,Yb2O3,CaO,YSZ,Li,Ce,Co,Mg,Fe,Mn,Zr,K,Ni,Ca,Cs,V,Rb,Y,Na,La,Gd,Yb,Zn,Re,Ti,Cr,Ho,Nd,Tm,Sm,Er,Sr,Temperature (C),H2 vol.%,O2 vol.%,CO vol.%,H2O vol.%,CO2 vol.%,CH4 vol.%,TOS (min),F/W (mg.min/ml),Metal_Radius_Kittel,Metal_EN_Allen,Metal_Atomic_Num,Metal_T_melt,Metal_VE_Villars,Metal_Atomic_Wt,Metal_Group,Metal_Period,Metal_Density,Metal_T_boiling,Promo_Radius_Kittel,Promo_EN_Allen,Promo_Atomic_Num,Promo_T_melt,Promo_VE_Villars,Promo_Atomic_Wt,Promo_Group,Promo_Period,Promo_Density,Promo_T_boiling,CO_Conversion
1284,0.43725223275724573,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,88.7136648323983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.849082934844454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.8,1.1,64.0,1585.15,3.0,157.25,3.0,6.0,7.895,3546.0,97.8
1285,0.43725223275724573,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,88.7136648323983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.849082934844454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.8,1.1,64.0,1585.15,3.0,157.25,3.0,6.0,7.895,3546.0,98.3
1286,0.43725223275724573,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,88.7136648323983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.849082934844454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.8,1.1,64.0,1585.15,3.0,157.25,3.0,6.0,7.895,3546.0,97.8
1287,0.43725223275724573,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,88.7136648323983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.849082934844454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.8,1.1,64.0,1585.15,3.0,157.25,3.0,6.0,7.895,3546.0,96.6
1288,0.27440945937203925,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,55.674658656542455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0509318840855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.6,1.2930000000000001,12.0,924.15,2.0,24.305,2.0,3.0,1.7380000000000002,1363.0,2.24
1289,0.27440945937203925,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,55.674658656542455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0509318840855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.6,1.2930000000000001,12.0,924.15,2.0,24.305,2.0,3.0,1.7380000000000002,1363.0,2.52
1290,0.27440945937203925,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,55.674658656542455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0509318840855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.6,1.2930000000000001,12.0,924.15,2.0,24.305,2.0,3.0,1.7380000000000002,1363.0,13.2
1291,0.27440945937203925,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,55.674658656542455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0509318840855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.6,1.2930000000000001,12.0,924.15,2.0,24.305,2.0,3.0,1.7380000000000002,1363.0,17.4
1292,0.27440945937203925,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,55.674658656542455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0509318840855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.6,1.2930000000000001,12.0,924.15,2.0,24.305,2.0,3.0,1.7380000000000002,1363.0,24.1
1293,0.27440945937203925,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,55.674658656542455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0509318840855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.6,1.2930000000000001,12.0,924.15,2.0,24.305,2.0,3.0,1.7380000000000002,1363.0,45.7
1294,0.27440945937203925,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,55.674658656542455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0509318840855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.6,1.2930000000000001,12.0,924.15,2.0,24.305,2.0,3.0,1.7380000000000002,1363.0,57.1
1295,0.27440945937203925,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,55.674658656542455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0509318840855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.6,1.2930000000000001,12.0,924.15,2.0,24.305,2.0,3.0,1.7380000000000002,1363.0,76.5
1296,0.27440945937203925,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,55.674658656542455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0509318840855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.6,1.2930000000000001,12.0,924.15,2.0,24.305,2.0,3.0,1.7380000000000002,1363.0,97.2
1297,0.27440945937203925,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,55.674658656542455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0509318840855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.6,1.2930000000000001,12.0,924.15,2.0,24.305,2.0,3.0,1.7380000000000002,1363.0,98
1298,0.27440945937203925,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,55.674658656542455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0509318840855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.6,1.2930000000000001,12.0,924.15,2.0,24.305,2.0,3.0,1.7380000000000002,1363.0,97.5
1299,0.27440945937203925,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,55.674658656542455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0509318840855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.6,1.2930000000000001,12.0,924.15,2.0,24.305,2.0,3.0,1.7380000000000002,1363.0,96.6
1300,0.43107585334396625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,87.46054543791918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108378708736856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.88,1.35,57.0,1191.15,3.0,138.90547,3.0,6.0,6.145,3737.0,1.12
1301,0.43107585334396625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,87.46054543791918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108378708736856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.88,1.35,57.0,1191.15,3.0,138.90547,3.0,6.0,6.145,3737.0,2.52
1302,0.43107585334396625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,87.46054543791918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108378708736856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.88,1.35,57.0,1191.15,3.0,138.90547,3.0,6.0,6.145,3737.0,4.2
1303,0.43107585334396625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,87.46054543791918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108378708736856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.88,1.35,57.0,1191.15,3.0,138.90547,3.0,6.0,6.145,3737.0,6.16
1304,0.43107585334396625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,87.46054543791918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108378708736856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.88,1.35,57.0,1191.15,3.0,138.90547,3.0,6.0,6.145,3737.0,8.12
1305,0.43107585334396625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,87.46054543791918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108378708736856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.88,1.35,57.0,1191.15,3.0,138.90547,3.0,6.0,6.145,3737.0,15.7
1306,0.43107585334396625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,87.46054543791918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108378708736856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.88,1.35,57.0,1191.15,3.0,138.90547,3.0,6.0,6.145,3737.0,30.3
1307,0.43107585334396625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,87.46054543791918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108378708736856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.88,1.35,57.0,1191.15,3.0,138.90547,3.0,6.0,6.145,3737.0,45.4
1308,0.43107585334396625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,87.46054543791918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108378708736856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.88,1.35,57.0,1191.15,3.0,138.90547,3.0,6.0,6.145,3737.0,60.5
1309,0.43107585334396625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,87.46054543791918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108378708736856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.88,1.35,57.0,1191.15,3.0,138.90547,3.0,6.0,6.145,3737.0,69.5
1310,0.43107585334396625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,87.46054543791918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108378708736856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.88,1.35,57.0,1191.15,3.0,138.90547,3.0,6.0,6.145,3737.0,83.2
1311,0.43107585334396625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,87.46054543791918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108378708736856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.88,1.35,57.0,1191.15,3.0,138.90547,3.0,6.0,6.145,3737.0,91.3
1312,0.43107585334396625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,87.46054543791918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108378708736856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.88,1.35,57.0,1191.15,3.0,138.90547,3.0,6.0,6.145,3737.0,98.3
1313,0.43107585334396625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,87.46054543791918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108378708736856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.88,1.35,57.0,1191.15,3.0,138.90547,3.0,6.0,6.145,3737.0,97.5
1314,0.43107585334396625,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,87.46054543791918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108378708736856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.88,1.35,57.0,1191.15,3.0,138.90547,3.0,6.0,6.145,3737.0,97.2
1315,0.3319599536354823,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,67.35102043709038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.317019609274126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.98,1.034,20.0,1113.15,2.0,40.078,2.0,4.0,1.54,1757.0,0.56
1316,0.3319599536354823,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,67.35102043709038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.317019609274126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.98,1.034,20.0,1113.15,2.0,40.078,2.0,4.0,1.54,1757.0,1.96
1317,0.3319599536354823,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0.0,0.0,67.35102043709038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.317019609274126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212,0,0,3,10,0,0,60,0.5,1.39,1.72,78.0,2045.15,10.0,195.084,10.0,6.0,21.46,4098.0,1.98,1.034,20.0,1113.15,2.0,40.078,2.0,4.0,1.54,1757.0,2.8
